매장명,주소,lat,lon
GS25SH상암1호점,"서울 마포구 월드컵북로434, 107호 (상암동 1590, 상암ITTower)",37.58161346,126.88601067
GS25SI타워점,"서울 강남구 테헤란로203, 1층 (역삼동 679-4)",37.50158291,127.03771103
GS25S가산디지털단지역점,"서울 금천구 벚꽃로309, 7호선 가산디지털단지역 내 상가 3002 (가산동 468-4)",37.48228276,126.88218427
GS25S강남구청역점,서울 강남구 삼성동1 7호선강남구청역내,37.51697895,127.04177805
GS25S강남역1호점,"서울 강남구 강남대로390, 지하1층 9호 (역삼동 825, 미진프라자)",37.49784131,127.02863248
GS25S강남역2호점,"서울 강남구 강남대로390, B3층 38호  (역삼동 825)",37.49784131,127.02863248
GS25S강남역3호점,"서울 강남구 강남대로390, 지하3층 (역삼동 825, 신분당선)",37.49784131,127.02863248
GS25S건대입구역점,"서울 광진구 능동로지하 110, 지하3층 X-22,23호 (화양동 6-3)",37.5405514,127.07007128
GS25S고속터미널역점,서울 서초구 반포동19-3 7호선고속버스터미널,37.5043539,127.00350728
GS25S공덕역점,"서울 마포구 마포대로지하 92, 지하3층 (도화동 25-13, 공덕역)",37.54273987,126.95162201
GS25S공릉역점,"서울 노원구 동일로지하 1074, 내 (공릉동 385-4, 7호선공릉역)",37.62589057,127.07250969
GS25S군자역점,"서울 광진구 능동로277, 지하1층 (군자동 1-9, 군자역내)",37.55479468,127.07781684
GS25S김포공항역점,"서울 강서구 하늘길지하 77, 내 (방화동 886, 김포공항역사)",37.56680295,126.80251229
GS25S남구로역점,"서울 구로구 도림로지하 7, 7호선 남구로역 내 상가 1001 (구로동 801-95)",37.48491217,126.88678103
GS25S남성역점,"서울 동작구 사당로14가길19, 사당동, 7호선 남성역 내 (사당동 250-1)",37.4841919,126.9713349
GS25S내방역점,"서울 서초구 서초대로지하 103 (방배동 874-16, 7호선내방역내)",37.48829048,126.99315923
GS25S노원역점,"서울 노원구 동일로지하 1409, 713동 1016호 (상계동 729, 노원역 7호선)",37.6536486,127.06075233
GS25S논현역점,"서울 강남구 학동로지하 102, 지하1층, GS25 S논현역점(논현역 상가1004) (논현동 279-67)",37.51419073,127.03135035
GS25S당산역1호점,"서울 영등포구 양평로지하 40, 내선8번 2호선 당산역 영등포구청 방면 플랫폼 내 (당산동6가 227-1)",37.53381048,126.90204204
GS25S당산역2호점,"서울 영등포구 양평로지하 40, 외선7번 2호선 당산역 합정방면 플랫폼 내 (당산동6가 227-1)",37.53381048,126.90204204
GS25S대림역점,"서울 영등포구 도림로지하 137, 7호 호선 대림역 (대림동 1050-17)",37.49281872,126.89685253
GS25S디지털미디어시티역,"서울 마포구 성암로지하 184, 지하 상가 (상암동 1140, 디지털미디어시티역사)",37.57684388,126.8991236
